Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed,codingLge,frontSkills,backFrame,db,deploy,tool,targetTask
<35,Master,Man,Dev,15,12,135000.0,7,0,1,1,1,0,1,1,0
<35,Undergraduate,Man,Dev,9,5,71093.0,24,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,8,5,42756.0,4,0,1,1,0,0,0,0,0
<35,Undergraduate,Man,Dev,8,4,150000.0,11,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,21,19,65000.0,13,1,1,1,1,1,1,1,0
>35,NoHigherEd,Man,Dev,18,17,25944.0,11,1,1,1,1,1,0,1,0
>35,PhD,Man,NotDev,25,20,64859.0,6,0,1,0,0,1,1,1,0
>35,Undergraduate,Man,Dev,20,15,48644.0,6,0,1,1,1,1,1,0,1
<35,Undergraduate,Man,Dev,10,3,35672.0,10,0,1,1,0,1,1,1,0
<35,Master,Man,Dev,12,7,64860.0,8,0,1,0,0,1,1,1,1
<35,Undergraduate,Man,Dev,10,3,59454.0,8,0,1,0,0,1,1,1,0
<35,Master,Man,Dev,12,9,45396.0,10,1,1,1,0,1,1,1,1
>35,Undergraduate,Man,Dev,28,20,19452.0,17,1,1,1,1,1,0,1,1
<35,Undergraduate,Woman,Dev,3,2,22212.0,29,1,1,1,1,1,1,1,1
<35,Undergraduate,Man,Dev,18,11,60000.0,29,1,1,1,1,1,1,1,0
>35,PhD,Man,Dev,39,35,110000.0,5,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,15,9,53832.0,14,1,1,1,1,1,1,1,0
<35,Master,Man,Dev,7,2,18080.0,18,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,11,3,31128.0,11,0,1,1,0,1,1,1,0
<35,Undergraduate,Man,Dev,16,12,96204.0,26,1,1,1,1,1,1,1,0
<35,Undergraduate,Man,Dev,6,3,5448.0,9,0,1,1,0,0,1,1,0
<35,Master,Man,Dev,15,6,88640.0,17,0,1,1,0,1,1,1,0
<35,Other,Man,Dev,6,2,20539.0,18,1,1,1,1,1,1,1,0
>35,Master,Man,Dev,40,21,190000.0,9,1,1,1,1,1,0,1,0
>35,PhD,Man,Dev,30,10,49765.0,3,0,1,0,0,1,0,1,0
<35,Undergraduate,Man,Dev,14,8,57765.0,7,0,0,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,6,3,40000.0,6,0,1,1,0,1,0,0,0
<35,NoHigherEd,Man,Dev,6,2,37440.0,12,0,1,1,1,1,0,1,1
<35,Undergraduate,Man,Dev,3,1,11724.0,16,1,1,1,1,1,1,1,0
>35,Undergraduate,Man,Dev,20,13,111814.0,11,0,1,1,1,1,1,1,1
<35,Master,Man,Dev,5,4,133000.0,11,0,1,1,1,1,1,1,0
>35,Other,Man,Dev,23,13,69183.0,8,1,1,1,1,1,0,1,0
<35,Undergraduate,Man,Dev,20,6,64737.0,8,0,1,0,0,1,1,1,0
<35,Undergraduate,Man,Dev,13,8,47563.0,9,0,1,0,0,1,1,1,0
